,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,last_trip_date,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,retention,rating_by_driver?,rating_of_driver?,King's Landing,Winterfell,Android,iPhone
0,6.94,5.0,5.0,1.0,2014-05-03,2014-01-12,0.0,0,False,100.0,False,False,False,0,0,1,0
1,8.06,5.0,5.0,1.0,2014-01-26,2014-01-25,0.0,2,True,0.0,False,False,False,0,0,1,0
2,21.5,4.0,4.601696940726505,1.0,2014-05-21,2014-01-02,0.0,1,True,100.0,False,False,True,0,1,0,1
3,9.46,5.0,4.601696940726505,2.75,2014-01-10,2014-01-09,100.0,1,False,100.0,False,False,True,0,1,1,0
4,13.77,5.0,4.601696940726505,1.0,2014-05-13,2014-01-31,0.0,0,False,100.0,False,False,True,0,1,0,1
5,14.51,5.0,4.601696940726505,1.0,2014-04-22,2014-01-29,0.0,0,True,100.0,False,False,True,0,0,0,1
6,4.87,4.7,4.0,1.0,2014-04-21,2014-01-18,0.0,0,False,66.7,False,False,False,0,0,1,0
7,1.78,4.0,5.0,1.0,2014-01-12,2014-01-11,0.0,3,False,0.0,False,False,False,0,1,0,1
8,6.87,5.0,4.7,1.0,2014-01-30,2014-01-01,0.0,3,False,66.7,False,False,False,0,0,1,0
9,2.41,5.0,3.0,1.0,2014-01-29,2014-01-28,0.0,1,False,100.0,False,False,False,0,1,0,1
10,3.96,5.0,4.601696940726505,2.0,2014-01-19,2014-01-18,100.0,1,False,0.0,False,False,True,0,1,0,1
11,17.04,5.0,4.601696940726505,1.0,2014-05-12,2014-01-26,0.0,0,True,100.0,False,False,True,0,1,1,0
12,5.42,4.7,5.0,1.0,2014-06-28,2014-01-05,0.0,2,True,33.3,True,False,False,0,0,0,1
13,5.02,5.0,5.0,1.0,2014-01-19,2014-01-19,0.0,1,False,0.0,False,False,False,0,0,1,0
14,4.28,5.0,4.0,1.15,2014-06-28,2014-01-14,20.0,2,False,40.0,True,False,False,0,1,1,0
15,3.4,5.0,5.0,1.0,2014-01-16,2014-01-16,0.0,1,True,100.0,False,False,False,0,0,1,0
16,6.74,4.8,3.7,1.02,2014-05-30,2014-01-25,9.1,2,False,54.5,False,False,False,0,1,0,1
17,7.27,4.8,4.0,1.0,2014-05-15,2014-01-07,0.0,1,False,75.0,False,False,False,0,1,0,1
18,2.72,4.7,4.5,1.0,2014-04-13,2014-01-10,0.0,1,False,33.3,False,False,False,0,0,0,1
19,5.94,5.0,5.0,1.0,2014-03-06,2014-01-26,0.0,1,True,100.0,False,False,False,0,0,0,1
20,17.34,5.0,5.0,1.0,2014-01-15,2014-01-14,0.0,1,True,100.0,False,False,False,0,1,1,0
21,3.31,4.8,3.7,1.02,2014-05-30,2014-01-28,2.6,9,False,47.4,False,False,False,1,0,0,1
22,2.69,4.3,5.0,1.0,2014-04-21,2014-01-15,0.0,0,False,0.0,False,False,False,0,1,0,1
23,6.0,5.0,4.601696940726505,1.0,2014-01-10,2014-01-07,0.0,1,False,100.0,False,False,True,0,1,0,1
24,4.96,5.0,5.0,1.0,2014-02-17,2014-01-26,0.0,1,False,100.0,False,False,False,0,1,0,1
25,11.44,4.6,4.7,1.0,2014-06-09,2014-01-25,0.0,6,True,31.4,True,False,False,0,0,0,1
26,0.05,5.0,5.0,1.0,2014-01-12,2014-01-12,0.0,1,False,0.0,False,False,False,0,1,1,0
27,3.7,4.6,5.0,1.0,2014-05-23,2014-01-04,0.0,2,False,40.0,False,False,False,0,1,0,1
28,3.89,5.0,4.0,1.0,2014-04-13,2014-01-03,0.0,0,False,0.0,False,False,False,0,0,0,1
29,4.7,4.8,3.3,1.0,2014-01-19,2014-01-06,0.0,4,False,25.0,False,False,False,0,0,1,0
30,2.49,4.9,4.7,1.11,2014-06-28,2014-01-09,14.3,2,True,78.6,True,False,False,1,0,1,0
31,1.45,4.8,3.6,1.2,2014-06-14,2014-01-25,28.6,2,True,57.1,True,False,False,0,0,0,1
32,25.18,5.0,4.601696940726505,1.0,2014-03-30,2014-01-24,0.0,0,False,50.0,False,False,True,0,0,0,1
33,1.84,4.9,4.0,1.03,2014-06-26,2014-01-31,11.1,4,True,33.3,True,False,False,0,1,0,1
34,2.89,5.0,5.0,1.0,2014-06-22,2014-01-22,0.0,0,False,0.0,True,False,False,0,0,1,0
35,5.55,5.0,5.0,1.0,2014-01-15,2014-01-06,0.0,2,True,50.0,False,False,False,0,0,0,1
36,10.58,5.0,4.3,1.03,2014-06-01,2014-01-02,11.1,2,False,88.9,True,False,False,0,0,0,1
37,7.78,4.6,4.601696940726505,1.14,2014-06-29,2014-01-01,28.6,1,False,57.1,True,False,True,0,1,1,0
38,4.01,4.4,5.0,1.0,2014-06-29,2014-01-24,0.0,2,True,63.6,True,False,False,0,1,0,1
39,2.81,4.8,4.6,1.07,2014-06-19,2014-01-25,11.1,5,False,59.3,True,False,False,0,1,0,1
40,2.87,5.0,5.0,1.0,2014-06-10,2014-01-26,0.0,0,False,50.0,True,False,False,0,1,0,1
41,3.4,5.0,5.0,1.13,2014-05-29,2014-01-11,37.5,4,False,87.5,False,False,False,0,0,0,1
42,0.43,3.0,4.0,1.0,2014-01-25,2014-01-24,0.0,1,False,100.0,False,False,False,0,1,1,0
43,0.87,5.0,4.0,1.0,2014-01-03,2014-01-01,0.0,1,False,100.0,False,False,False,0,0,1,0
44,3.92,4.4,4.0,2.0,2014-06-21,2014-01-31,60.0,0,False,0.0,True,False,False,0,1,0,1
45,6.86,5.0,5.0,1.25,2014-03-02,2014-01-25,50.0,0,False,0.0,False,False,False,0,1,1,0
46,11.03,5.0,5.0,1.0,2014-01-21,2014-01-20,0.0,3,False,100.0,False,False,False,0,0,0,1
47,0.85,5.0,5.0,3.0,2014-02-17,2014-01-10,100.0,0,False,100.0,False,False,False,0,1,0,1
48,1.43,4.5,3.8,1.0,2014-06-22,2014-01-01,0.0,3,True,52.4,True,False,False,1,0,0,1
49,2.35,5.0,4.0,1.0,2014-03-30,2014-01-28,0.0,0,True,0.0,False,False,False,0,0,0,1
50,5.6,4.8,4.1,1.09,2014-06-28,2014-01-25,18.2,4,True,57.6,True,False,False,1,0,0,1
51,1.44,5.0,5.0,1.0,2014-01-19,2014-01-19,0.0,1,True,0.0,False,False,False,0,1,0,1
52,4.41,5.0,4.601696940726505,1.0,2014-06-22,2014-01-01,0.0,0,False,0.0,True,False,True,0,1,0,1
53,3.11,4.7,4.5,1.19,2014-06-07,2014-01-06,29.4,0,False,76.5,True,False,False,0,1,0,1
54,2.23,4.5,4.0,1.0,2014-02-23,2014-01-05,0.0,0,False,0.0,False,False,False,0,1,0,1
55,1.95,5.0,5.0,1.0,2014-01-26,2014-01-25,0.0,2,True,0.0,False,False,False,0,0,0,1
56,24.17,5.0,4.601696940726505,1.0,2014-05-01,2014-01-14,0.0,0,True,100.0,False,False,True,0,1,1,0
57,9.91,4.0,5.0,1.06,2014-06-12,2014-01-03,25.0,0,True,100.0,True,False,False,0,1,0,1
58,12.37,4.0,1.0,1.0,2014-03-08,2014-01-29,0.0,0,False,50.0,False,False,False,0,1,0,1
59,1.97,5.0,4.0,1.0,2014-04-10,2014-01-24,0.0,2,False,80.0,False,False,False,0,0,0,1
60,11.62,4.0,4.0,1.0,2014-03-10,2014-01-30,0.0,0,False,100.0,False,False,False,0,1,0,1
61,7.79,5.0,4.601696940726505,1.0,2014-02-23,2014-01-26,0.0,1,False,0.0,False,False,True,0,1,0,1
62,37.64,5.0,4.601696940726505,1.0,2014-05-25,2014-01-29,0.0,0,False,0.0,False,False,True,1,0,0,1
63,4.13,5.0,5.0,1.0,2014-04-27,2014-01-08,0.0,0,False,50.0,False,False,False,0,0,0,1
64,4.95,4.9,4.7,1.0,2014-06-28,2014-01-14,0.0,0,True,100.0,True,False,False,0,0,1,0
65,1.97,4.4,5.0,1.0,2014-05-05,2014-01-07,0.0,0,False,80.0,False,False,False,0,1,0,1
66,4.99,5.0,4.3,1.33,2014-01-27,2014-01-20,33.3,6,True,16.7,False,False,False,1,0,0,1
67,13.59,5.0,4.5,1.0,2014-06-30,2014-01-26,0.0,1,False,50.0,True,False,False,1,0,0,1
68,6.93,5.0,5.0,1.0,2014-06-07,2014-01-24,0.0,1,False,40.0,True,False,False,1,0,0,1
69,1.82,4.7,4.4,1.1,2014-06-27,2014-01-16,9.8,10,True,80.5,True,False,False,0,1,0,1
70,43.73,5.0,4.601696940726505,1.0,2014-01-12,2014-01-11,0.0,1,True,0.0,False,False,True,0,1,0,1
71,6.03,5.0,4.3,1.05,2014-06-21,2014-01-19,10.0,2,True,40.0,True,False,False,0,1,0,1
